AACHEN,Aachen
STWTTMD,Stewarts Lane Traction & Rolling Stock Maintenance Depot
STIRLNG,Stirling
STIRCHJ,Stirling Causewayhead Junction
STIRLNM,Stirling Middle
STIRLNN,Stirling North
STIRP,Stirling Plean Caberboard
STIRLSD,Stirling S & D Lines
STIRSDG,Stirling Sidings
STIR504,Stirling Signal 6504
STIRUPL,Stirling Up Passenger Loop
SNSTJN,Stoats Nest Junction
SNST109,Stoats Nest Junction Signal T1109
SNST110,Stoats Nest Junction Signal T1110
SNSTGF,Stoats Nest North Ground Frame
STKYBJN,Stockley Bridge Junction
STKYJN,Stockley Junction
STKP,Stockport
STKPCS,Stockport Carriage Maintenance Depot
STKPCVJ,Stockport Cheadle Village Junction
STKPE1,Stockport Edgeley Junction No 1
STKPE2,Stockport Edgeley Junction No 2
STKPE20,Stockport Edgeley Signal EY1.20
STKP288,Stockport Signal ST2.88/89
STKP214,Stockport Signal ST2.114
STKP216,Stockport Signal ST2.116/118
STKPVIA,Stockport Viaduct
STCKSFL,Stocksfield
STKSMR,Stocksmoor
STOCTON,Stockton
STKTBRK,Stockton Brook
STOCCJN,Stockton Cut Junction
STOC907,Stockton Signal 907
STOCTMS,Stockton T J Thomson
STOCTAD,Stockton T J Thomson Advenza Railfreight
STOCDC,Stockton T J Thomson Devon & Cornwall Railways
STOCGBF,Stockton T J Thomson GB Railfreight
STOGMBR,Stogumber
STCALC,Stoke Canon Level Crossing
STOKCV,Stoke Cliffe Vale
STOKCVR,Stoke Cliffe Vale Repair Point
STOKCS,Stoke Cockshute Sidings
STOKEND,Stoke Endon
STKGDRC,Stoke Gifford Down Reception
STKGFHH,Stoke Gifford Freightliner Heavy Haul
STKGIEP,Stoke Gifford IEP Depot
STKGLMD,Stoke Gifford Light Maintenance Depot
STKGSDG,Stoke Gifford Sidings
STKG143,Stoke Gifford Signal B143
STKG506,Stoke Gifford Signal B506
STKG589,Stoke Gifford Signal B589
STKGTIP,Stoke Gifford Tip
STKGTMD,Stoke Gifford Traction Maintenance Depot
STKGURS,Stoke Gifford Up Reception
STKGWMD,Stoke Gifford Wagon Maintenance Depot
STOKGRA,Stoke Granville Sidings
STOKHAN,Stoke Hanley Bus Station
SOKEJN,Stoke Junction [Grantham]
STOKEJH,Stoke Junction Halt
STOKOTJ,Stoke Junction [Staffordshire]
SOKELBY,Stoke Little Bytham
STKM,Stoke Mandeville
STOKMAR,Stoke Marcroft Engineering Stoke Wagon Repairs Ltd
STOKMIL,Stoke Milton
STOKNEW,Stoke Newcastle Junction
STKNWNG,Stoke Newington
STOKNWY,Stoke North West Yard
STOKYRV,Stoke North West Yard Reversing Point
STOKOAK,Stoke Oakamoor
STOKEOT,Stoke-On-Trent
STOKLHS,Stoke-On-Trent Loco Holding Sidings
STOKOTN,Stoke-On-Trent North
STOKTNR,Stoke-On-Trent Turner Rail
STOKSID,Stoke Sideway Loop
STOK271,Stoke Signal 271
STOK439,Stoke Signal 439
STOK462,Stoke Signal 462
STOK527,Stoke Signal 527
STOK534,Stoke Signal 534
STOK540,Stoke Signal 540
STOKSTH,Stoke South
STOKVS,Stoke Viaduct Sidings
STKWKSJ,Stoke Works Junction
STONE,Stone
STNA,Stonea
STONASH,Stone Ashton
STNBGPK,Stonebridge Park
STNBCE,Stonebridge Park Civil Engineer's Sidings
STNBPKD,Stonebridge Park Depot
STNBS32,Stonebridge Park Signal WS32
STNBS34,Stonebridge Park Signal WS34
STNBS36,Stonebridge Park Signal WS36
STNBHRD,Stonebridge Park Wagon Repair Depot
STCRHCR,Stone Crossing-Horns Cross
STNXGSB,Stone Crossing Signal Box
STONECS,Stone Crown Street
STONEGS,Stone Granville Square
SHVN,Stonehaven
SHVN40,Stonehaven Signal SV40
SHVNS,Stonehaven South
STNHSE,Stonehouse
STNCRBT,Stonehouse Corner Roundabout
STNHPO,Stonehouse Post Office
STONEMS,Stone Meaford Sidings
STONSAN,Stone Sandon
STON505,Stone Signal S505
STON510,Stone Signal S510
STOMJN,Stormstown Junction
STOMSTN,Stormstown Loop
STORMY,Stormy
STORDGL,Stormy Down Goods Loop
STORUGL,Stormy Up Goods Loop
STWY,Stornoway
STRBDGJ,Stourbridge Junction
STRBJGL,Stourbridge Junction Goods Loop
STRBDEP,Stourbridge Junction Light Maintenance Depot
STRBHDS,Stourbridge Junction Light Maintenance Depot Headshunt
STRBDG1,Stourbridge Junction Town Platform
STRBNJN,Stourbridge North Junction
STRBSDG,Stourbridge Sidings
STRBDGT,Stourbridge Town
STRTNBS,Stourton BSC/Corus
STRTDFS,Stourton D & F Steels
STRTNDS,Stourton Down Siding
STRTFHH,Stourton Down Siding Freightliner Heavy Haul
STRTRFS,Stourton Freightliner Terminal Carriage & Wagon RFS Engineering
STRTJN,Stourton Junction
STRTJRV,Stourton Junction Reverse
STRT912,Stourton Neck Signal S912
STRT921,Stourton Signal S921
STRT930,Stourton Signal S930
STOW,Stow
STWMRKT,Stowmarket
STWMDGL,Stowmarket Down Goods Loop
SONWBUS,Stow-On-The-Wold (Bus)
SRANDRX,Strand Road Level Crossing
STRNRR,Stranraer
STRNTCS,Stranraer Carriage Servicing Depot
STRNRHR,Stranraer Harbour
STRNTSH,Stranraer Stockton Haulage
STRNRTN,Stranraer Town Freight Depot
STRNWPR,Stranraer West Pier
STRNYGF,Stranraer Yard Ground Frame
SRTNJN,Stranton Junction
STRAHAU,Strasbourg Hausbergen
STFDCJ,Stratford Central Junction
STFDCEJ,Stratford Country End Junction
CATZ019,Stratford For The Games
STFDFLT,Stratford Freightliner Terminal
STFDS82,Stratford Ground Signal L82
STFORDI,Stratford International
STFODOM,Stratford International Domestic Platforms
STFOEJN,Stratford International East Junction
CATZ020,Stratford International Games
STFOWJN,Stratford International West Junction
STRATJE,Stratford Jerich
STFD,Stratford (London)
STFDLJN,Stratford London End Junction
STFDLFT,Stratford London International Freight Terminal
STRCGOT,Stratford London International Freight Terminal 10 & 11 Sheds
STFDLL,Stratford Low Level
STFD613,Stratford Low Level Signal S613
STFD616,Stratford Low Level Signal S616
STRATFD,Stratford LT
STFDMRK,Stratford Market
STFDMBS,Stratford Market B&S Acids
STFDOCS,Stratford Old Yard Carriage Holding Sidings
STFDRPD,Stratford Repair Depot
STFDRRA,Stratford Road Railer Area
STFDS53,Stratford Signal L53
STFDS68,Stratford Signal L68
STFD156,Stratford Signal L156
STFD247,Stratford Signal L247
STFD249,Stratford Signal L249
STFD251,Stratford Signal L251
STFD257,Stratford Signal L257
STFD259,Stratford Signal L259
STFD261,Stratford Signal L261
STFD295,Stratford Signal L295
STFD701,Stratford Signal L701
STFD703,Stratford Signal L703
STFD073,Stratford Signal L5073
STFDMPD,Stratford Traction Maintenance Depot
SOAV,Stratford-upon-Avon
SOAVEST,Stratford-upon-Avon East
SOAVBUS,Stratford-upon-Avon Leisure Centre
SOAVPWY,Stratford-upon-Avon Parkway
STCN,Strathcarron
STCNCE,Strathcarron Civil Engineer's Sidings
STCNGF,Strathcarron Ground Frame
STCNLC,Strathcarron Level Crossing
STRWBHD,Strawberry Hill Carriage Servicing Depot
STRW257,Strawberry Hill Signal BEF2457
STRW91,Strawberry Hill Signal F91
STRW419,Strawberry Hill Signal F419
STWHTNL,Strawberry Hill Tunnel
STRETHM,Streatham (Greater London)
STRHCSD,Streatham Hill Carriage Servicing Depot
STRHDS,Streatham Hill Down Siding
STRHEX,Streatham Hill Exit
STRHSH,Streatham Hill Shed
STRH157,Streatham Hill Signal VC157
STRH161,Streatham Hill Signal VC161
STRH658,Streatham Hill Signal VC658
STRHUS,Streatham Hill Up Siding
STRHUSE,Streatham Hill Up Siding East
STRHUSW,Streatham Hill Up Siding West
STRETJN,Streatham Junction
STRE174,Streatham Junction Signal TVC174
STRENJN,Streatham North Junction
STRERFS,Streatham Reversible Fast Spur
STRESJN,Streatham South Junction
STRE176,Streatham South Junction Signal TVC176
STRE171,Streatham South Junction Signal VC171
STHS,Streethouse
STETLEI,Street Leigh Road/Crispin Hall
STETLIB,Street Library
SFRD,Stretford
STRINES,Strines
STRMFRY,Stromeferry
SNSS,Stromness
STRODCD,Strood Coal Concentration Depot
STROOD,Strood (Kent)
STRO625,Strood Shunt Signal NK1625
STRO628,Strood Shunt Signal NK1628
STRO630,Strood Shunt Signal NK1630
STRUD,Stroud (Gloucs)
STRUMLC,Stroud St Mary's Level Crossing
SRUAN,Struan
STRRYSB,Sturry Signal Box
STUTHAF,Stuttgart Hafen
STYAL,Styal
SUBWAYJ,Subway Junction
SUBW428,Subway Junction Signal OO428
SUCOTHV,Succoth Viaduct
SDBKAPM,Sudbrook Ashton Paper Mill
SDBKPST,Sudbrook Pumping Station
SDBRYHR,Sudbury & Harrow Road
SDBRYHH,Sudbury Hill Harrow
SUDBURY,Sudbury (Suffolk)
SDFRDGB,Sudforth Lane Down GB Railfreight
SDFRFHH,Sudforth Lane Freightliner Heavy Haul
SDFRTLA,Sudforth Lane Loadhaul/English Welsh & Scottish Railway
SDFRTSB,Sudforth Lane Signal Box
SDFRTUR,Sudforth Lane Up Reception Sidings
SDFRUFH,Sudforth Lane Up Reception Sidings Freightliner Heavy Haul
SGRLOAF,Sugar Loaf
SUMRSTN,Summerston
SUMMITS,Summit
SUNBURY,Sunbury
SNDRLND,Sunderland
SNDRBDS,Sunderland Burdon Dock Siding
SNDRLS,Sunderland Londonderry Siding
SNDRMS,Sunderland Middle Sidings
SNDRMSB,Sunderland Monkwearmouth Signal Box
SDOCPSA,Sunderland Port South Dock
SDOCKPF,Sunderland Port South Dock Petrofina
SNDR211,Sunderland Signal T6211
SDOCKHS,Sunderland South Dock Loco Holding Sidings
SDOCLON,Sunderland South Dock Londonderry
SDOCK,Sunderland South Dock Terminal Complex
SNDRSTH,Sunderland South Junction
SNDRWRD,Sunderland Ward Brothers
SUNNGDL,Sunningdale
SUNH,Sunnyhill
SUNYMDS,Sunnymeads
SUNSJN,Sunnyside Junction
SURBITN,Surbiton
SURBETC,Surbiton Emergency Trailing Crossover
SURB111,Surbiton Signal 111
SURBNSB,Surbiton Signal Box
SURB534,Surbiton Signal WK534
SURB104,Surbiton Signal WK1104
SURB106,Surbiton Signal WK1106
SURRCNJ,Surrey Canal Junction
SURCNRD,Surrey Canal Road
SURREYQ,Surrey Quays
SURRQSJ,Surrey Quays Silwood Junction
SURRQSS,Surrey Quays Silwood Stabling Sidings
SUTCO,Sutton Coldfield
SUTNC,Sutton Colliery
SUTNCSS,Sutton Colliery Junction Storage Sidings
SUTTONC,Sutton Common
SUTTON,Sutton (London)
SOAK,Sutton Oak Hayes Chemicals
SOAKJN,Sutton Oak Junction
STNPK,Sutton Park
STNPALD,Sutton Park Aldridge
STNPSTR,Sutton Park Streetly Signal WR5433
STTNPWY,Sutton Parkway
SUTT193,Sutton Signal VC193
SUTT195,Sutton Signal VC195
SUTW,Sutton Weaver
SWADGF,Swadlincote Ground Frame
SWAINTP,Swainsthorpe Level Crossing
SWALE,Swale
SWALESB,Swale Signal Box
SWAL107,Swale Signal EV107
SWLWJN,Swalwell Junction
SWNAGE,Swanage
SWNACFC,Swanage Corfe Castle
SWNAHMC,Swanage Harman's Cross
SWNAHNH,Swanage Herston Halt
SWNLMD,Swanage Light Maintenance Depot GB Railfreight
SWNAMGF,Swanage Motala Ground Frame
SWNANDN,Swanage Norden
SWBNSDG,Swanborne Sidings
SWNLYCS,Swanley Carriage Holding Sidings
SWLY631,Swanley Signal VS631
SWLY636,Swanley Signal VS636
SWLY637,Swanley Signal VS637
SWLY638,Swanley Signal VS638
SWNSCMB,Swanscombe
SWNSGD,Swanscombe George & Dragon
SWNSCMS,Swanscombe Sidings
SWANSEA,Swansea
SWANFMC,Swansea Burrows Sidings Ford Motor Company
SWAN594,Swansea Burrows Sidings Signal PT3594
SWAN597,Swansea Burrows Sidings Signal PT3597
SWANSBS,Swansea Burrows Sorting Sidings
SWANBGB,Swansea Burrows Sorting Sidings GB Railfreight
SWANSED,Swansea Docks
SWANNON,Swansea Docks ABP Non Shipment
SWANABP,Swansea Docks ABP Shipment
SWNSDRG,Swansea Docks ABP Shipment Coal Hoist
SWANEDP,Swansea Eastern Depot
SWANMRD,Swansea IEP Maintenance Road
SWANWRD,Swansea IEP Wash Road
SWANKDA,Swansea Kings Dock Advenza Freight
SWANSLE,Swansea Loop East
SWANSLW,Swansea Loop West
SWANMCS,Swansea Maliphant Carriage Servicing Depot
SWANIEP,Swansea Maliphant IEP Depot
SWANN1S,Swansea No 1 Set
SWAN537,Swansea Signal PT537
SWAN163,Swansea Signal PT3163
SWAN571,Swansea Signal PT7571
SWAN573,Swansea Signal PT7573
SWAN592,Swansea Signal PT7592
SWAVIA,Swan Side Viaduct
SWAY,Sway
SWYTHLN,Swaythling
SWNDRBY,Swinderby
SWNDTHO,Swinderby Thorpe-On-The-Hill
SDONARG,Swindon Austin Rover Group
SDONBOU,Swindon Bourton
SDONBUS,Swindon Bus Station
SDONCBE,Swindon Cocklebury East Loop
SDONCBS,Swindon Cocklebury Electric Multiple Unit Sidings
SDONCBY,Swindon Cocklebury Yard
SDONEL,Swindon East Loop
SDONEMR,Swindon European Metals Recycling Disposals
SDONEGB,Swindon European Metals Recycling GB Railfreight
SDONHWK,Swindon Hawksworth Sidings
SDONLIP,Swindon Loco Inspection Point/Fuelling Point
SDONLY,Swindon Loco Yard
SDONLE,Swindon London End
SDONMIN,Swindon Minety Crossingsee also Minety Crossing
SDONNS,Swindon North Sidings
SDONAFL,Swindon Preymesser Advenza Freight
SDONS30,Swindon Signal SN30
SDON227,Swindon Signal SN227
SDON212,Swindon Signal SW1212
SDONTML,Swindon South Marston Euro Terminal
SDONSMJ,Swindon South Marston Junction
SDONSTO,Swindon Stores Civil Engineer's Sidings
SDONSGB,Swindon Stores GB Railfreight
SDONSTG,Swindon Stratton Green
SDONTFR,Swindon Transfer Yard
SDONUY,Swindon Up Yard
SDONWL,Swindon West Loop
SDON,Swindon (Wilts)
SDONWKS,Swindon Works
SWSHEAD,Swineshead
SWGBGE,Swing Bridge East
SWINTNJ,Swinton Junction
SWNT,Swinton (Manchester)
SWINTN,Swinton (South Yorks)
CATZQSD,SWR Destination
CATZQSO,SWR Origin
SYDNHMH,Sydenham Hill
SYDNFD,Sydenham Hill Fountain Drive
SYDENHM,Sydenham (London)
SYMNGTN,Symington Ground Frame
SYNDINN,Synod Inn
SYONLA,Syon Lane
SYSTON,Syston
SYSTNEJ,Syston East Junction
SYSTNNJ,Syston North Junction
SYSTNSJ,Syston South Junction
TACKLEY,Tackley
TADWTH,Tadworth
TADWBUS,Tadworth The Avenue (by bus)
TAFFMCL,Taff Merthyr Colliery
TAFFSWL,Taffs Well
TAIN,Tain
TAINCE,Tain Civil Engineer's Siding
TALACRE,Talacre
TALRDIG,Talerddig
TALRCAR,Talerddig Carno Level Crossing
TALRCEM,Talerddig Cemmes Road
TALRLLA,Talerddig Llanbrynmair
TALRDOG,Talerddig Pontdolgoch
TALNDOW,Tallington Dowmac
TALNESS,Tallington Essendine
TALNGTN,Tallington Junction
TALN541,Tallington Junction Signal P541
TALNRED,Tallington Redland Aggregates
TALN534,Tallington Signal P534
TALN544,Tallington Signal P544
TALNDBC,Tallington Tarmac DB Cargo
TALNGBR,Tallington Tarmac GB Railfreight
TLSRNAU,Talsarnau
TALB,Talybont
TALYCFN,Tal-y-Cafn
TAMEBDG,Tame Bridge Parkway
XAMFOL,Tamerton Foliot
TMWTHHL,Tamworth High Level
TMWTCE,Tamworth High Level Civil Engineer's Sidings
TMWTHLL,Tamworth Low Level
TANKRD,Tank Road (Salkeld Street)
TANY,Tan-y-Bwlch
TANYBWL,Tan-y-Bwlch Ffestiniog Railway
TAPLOW,Taplow
TAPTONJ,Tapton Junction
TARBERT,Tarbert Isle Of Lewis
TARRAGN,Tarragona
TATNHMC,Tattenham Corner
TATNCHS,Tattenham Corner Carriage Holding Sidings
TATN385,Tattenham Corner Signal T1385
TAUNTON,Taunton
TAUNCSD,Taunton Cider Siding
TAUNCE,Taunton Civil Engineer's Sidings
TAUNGDS,Taunton Goods Reception
TAUNTLS,Taunton Locomotive Sidings
TAUNTRS,Taunton (Railway Station) West Somerset Railway
TAUNE22,Taunton Signal E22
TAUN481,Taunton Signal E481
TAUN483,Taunton Signal E483
TAUN604,Taunton Signal E604
TAUN608,Taunton Signal E608
TAUN611,Taunton Signal E611
TAUN617,Taunton Signal E617
TAUN619,Taunton Signal E619
TAUN624,Taunton Signal E624
TAUNSBG,Taunton Station Bridge Bus Stop
TAUNSFC,Taunton Station Forecourt
TAUNTWJ,Taunton West Junction
TVSTBUS,Tavistock Bus Station
TVSTCKJ,Tavistock Junction
TVSTJDS,Tavistock Junction Down Siding
TVSTJPD,Tavistock Junction Plant Depot
TVST132,Tavistock Junction Signal P132
TVST197,Tavistock Junction Signal P197
TVST199,Tavistock Junction Signal P199
TVSTJYD,Tavistock Junction Yard
TAYBDRS,Tay Bridge Down Refuge Siding
TAYBHGN,Tay Bridge High Girders North
TAYBHGS,Tay Bridge High Girders South
TAYBDGS,Tay Bridge South
TAYNULT,Taynuilt
TAYNUCE,Taynuilt Civil Engineer's Sidings
TAYNGF,Taynuilt Ground Frame
TEBAY,Tebay
TEBAYCE,Tebay Civil Engineer's Sidings
TEDNGTN,Teddington
TEESBAL,Tees Civil Engineer's Sidings
TEESDK,Tees Dock Export Berth DB Cargo
TEESGFH,Tees Newport East Freightliner Heavy Haul
TEESNEJ,Tees Newport East Junction
TEES875,Tees Newport East Junction Signal DS6875
TEES877,Tees Newport East Junction Signal DS6877
TEESY,Tees New Yard
TEESDNS,Tees New Yard Down Staging
TEESYHS,Tees New Yard Holding Siding
TEES194,Tees New Yard Signal TY194/7/8
TSDARPR,Teesside Airport
TEESYDS,Tees Yard Down Staging Freightliner Heavy Haul
TEESYDG,Tees Yard Down Staging GB Railfreight
TEESYEE,Tees Yard East End
TEESCW,Tees Yard English Welsh & Scottish Railway Carriage & Wagon Grading
TEESYSB,Tees Yard Signal Box
TEES137,Tees Yard Signal TY137
TEES156,Tees Yard Signal TY1560
TIGNGRC,Teigngrace
TEINMTH,Teignmouth
TELFRDC,Telford Central
TMBOCAF,Templeborough
TMBORO,Templeborough BSC Reception
TMPCSDG,Templecombe Down Siding
TMPC688,Templecombe Signal SE4688
TEMPLHJ,Temple Hirst Junction
TMPLBRE,Temple Mills BREL
TMPLMEJ,Temple Mills East Junction
TMPLMEY,Temple Mills East Yard (District Civil Engineer) Arrival Road
TMPLLEA,Temple Mills Lea Interchange Sidings English Welsh & Scottish Railway
TMPLMLP,Temple Mills Loop
TMPLMFL,Temple Mills Loop Freightliner
TMPLOCS,Temple Mills Orient Way Carriage Sidings
TMPLORR,Temple Mills Orient Way Reception Road
TMREUKL,Temple Mills Reception Eurostar UK Ltd
TMPLRRJ,Temple Mills Ruckholt Road Junction
TMPL770,Temple Mills Signal S770
TMPL906,Temple Mills Signal S906
TMPLMLY,Temple Mills Sorting Sidings
TMPLMRR,Temple Mills Sorting Sidings Reception
TMPLMTP,Temple Mills TP
TMPLTMD,Temple Mills Traction Maintenance Depot
TMPLMWJ,Temple Mills West Junction
CATZTEM,Templemore
TENBY,Tenby
TNTRDNT,Tenterden Town
TERM606,Terminus Curve Signal G606
TERM182,Terminus Curve Signal GB5182
TERMJGW,Terminus Junction
TERCESL,Terrace Carriage Holding Sidings [Lincoln]
TESTX9,Test Linx4.7
TESTAIN,Test Location Ainderby Steeple✖Now disbanded: NLC and STANOX codes used for Northallerton Wensleydale Railway
TESTBED,Test Location Bedale
TESTLEE,Test Location Leeming Bar
TESTRED,Test Location Redmire
TESTSCR,Test Location Scruton
TESTWEN,Test Location Wensley
TESTONX,Teston Crossing Halt
TESTX1,Test X1
TESTX2,Test X2
TESTX3,Test X3
TESTX4,Test X4
TESTX8,Test X8
TESTX10,Test X10 Name
CATZTTY,Tetbury Long Street Bus
TEYNHAM,Teynham
TEYNXSB,Teynham Crossing Signal Box
TEYNDVC,Teynham Dover Castle
THAME,Thame
THVNBSB,Thames Haven 'BSB'
THMSMOB,Thames Haven Coryton Mobil Oil
THMSDBS,Thames Haven DB Cargo
THMSDBS,Thames Haven DB Schenker
THMSHVN,Thames Haven English Welsh & Scottish Railway
THMSFLI,Thames Haven Freightliner
THLGFLI,Thames Haven Freightliner
THMSHVJ,Thames Haven Junction
THLGPAL,Thames Haven London Gateway Port Arrival Line
THLGDBS,Thames Haven London Gateway Port DB Cargo
THMSLGB,Thames Haven London Gateway Port GB Railfreight
THMSL14,Thames Haven Signal LG14
THMSL15,Thames Haven Signal LG15/Stop Board
TLKCITY,Thameslink Cirysee also City Thameslink
THMSMTX,Thames Matex
THANETP,Thanet Parkway
THATCHM,Thatcham
THATCC,Thatcham Colthrop Crossing
THATCSG,Thatcham Colthrop Siding
THATMOD,Thatcham MOD
THHT,Thatto Heath
THEALE,Theale
THEAAIG,Theale Aggregates Industries GB Railfreight
THEAARC,Theale ARC
THEABCI,Theale Blue Circle Industries
THEALFY,Theale Foster Yeoman
THEAFYF,Theale Foster Yeoman Freightliner Heavy Haul
THEAHFH,Theale Hanson Aggregates Freightliner Heavy Haul
THEALHC,Theale Hope Cement
THEALAF,Theale LaFarge
THEAGBR,Theale LaFarge GB Railfreight
THEALGL,Theale Loop
THEALEM,Theale Murco Petroleum
THEAOTC,Theale On Track Colas
THEAPUM,Theale Puma GB Railfreight
THEARCP,Theale Reception Sidings
THEA800,Theale Signal R800
THEA887,Theale Signal R887
THEA831,Theale Signal T2831
THEA834,Theale Signal T2834
THEA839,Theale Signal T2839
CATZ068,The Games At Brands Hatch
CATZ010,The Games At Eton Dorney
CATZ011,The Games At Excel Arena
CATZ012,The Games At Greenwich Park
CATZ013,The Games At Hadley Stadium
CATZ014,The Games At Lee Valley
CATZ018,The Games At Wimbledon
THEGRN,The Green
THELAKS,The Lakes (Warwickshire)
THBLDSG,Theobalds Grove
CROY27,Therapia Lane Tram
THETFD,Thetford
THET114,Thetford Signal EN8114
THET7,Thetford Signal T7
THET15,Thetford Signal T15
THETSDG,Thetford Tamper Siding
THNGLEJ,Thingley East Junction
THNGLYJ,Thingley Junction
THNGSDG,Thingley Junction Sidings
THNGMOD,Thingley MOD
THRDRVE,Third Drove
THRD923,Third Drove Signal CA923
THIRSK,Thirsk
THIRSDG,Thirsk Sidings
THIREWS,Thirsk Sidings English Welsh & Scottish Railway
THIR686,Thirsk Signal Y686
CATZTHM,Thomastown
THRSCR,Thoresby Colliery Colas Rail
THRSFHH,Thoresby Colliery Freightliner Heavy Haul
THRSGBR,Thoresby Colliery GB Railfreight
THRSCLJ,Thoresby Colliery Junction
THRSCFH,Thoresby Colliery Junction Freightliner Heavy Haul
THRSCGB,Thoresby Colliery Junction GB Railfreight
THRSBCL,Thoresby Colliery/RJB Mining
THRSNEC,Thoresby Sidings
TABY,Thornaby
TABYEJN,Thornaby East Junction
TABYLTH,Thornaby English Welsh & Scottish Railway Wheel Lathe
TABY815,Thornaby Signal DS6815
TABY682,Thornaby Signal DS6822
TABY176,Thornaby Signal TY176
TABY194,Thornaby Signal TY194
TABY197,Thornaby Signal TY197
TABY198,Thornaby Signal TY198
TABY208,Thornaby Signal TY208
TABYWRD,Thornaby Tees Shops English Welsh & Scottish Railway Carriage & Wagon
TABYTMD,Thornaby Traction Maintenance Depot English Welsh & Scottish Railway
TABYFLD,Thornaby Traction Maintenance Depot Freightliner
TABYNO1,Thornaby Up Goods No 1
THORCRK,Thorne Creykes
THORNEJ,Thorne Junction
THORNEN,Thorne North
THORNES,Thorne South
THYMIL,Thorney Mill
THYMEWS,Thorney Mill English Welsh & Scottish Railway
THYMFHH,Thorney Mill Freightliner Heavy Haul
THYMGBR,Thorney Mill GB Railfreight
THYMGF,Thorney Mill Ground Frame
THYM253,Thorney Mill Signal T6523
THYMILF,Thorney Mill West Drayton English Welsh & Scottish Railway
TRAC,Thorney Rose & Crown
THHLJN,Thornhill Junction
THHLNWJ,Thornhill LNW Junction
THIL,Thornhill [Scotland]
THILUL,Thornhill Up Loop
THHL,Thornhill [West Yorkshire]
THLB,Thornliebank
THABBEY,Thornton Abbey
TFCARMD,Thorntonfield Carriage Maintenance Depot
THAL,Thorntonhall
THRNTHS,Thornton Holding Sidings
THRNDPL,Thornton North Down Passenger Loop
THRNTNJ,Thornton North Junction
THRN567,Thornton North Signal ET567
THRN568,Thornton North Signal ET568
THRNUPL,Thornton North Up Passenger Loop
THRNTSJ,Thornton South Junction
THRN865,Thornton South Signal ET865
THRNTTC,Thornton Terminal Complex
THRNTWJ,Thornton West Junction
THRNGMM,Thornton Yard GM Mining
THRNIHB,Thornton Yard I & H Brown
THOPBAY,Thorpe Bay
TCULVRT,Thorpe Culvert
TCULFRY,Thorpe Culvert Firsby
THPLESK,Thorpe-le-Soken
THPLESS,Thorpe-Le-Soken Siding
THPL148,Thorpe-Le-Soken Signal CO1148
TMSHJN,Thorpe Marsh Junction
TMSHCEG,Thorpe Marsh Power Station
TMSH723,Thorpe Marsh Signal D723
TMSHTMC,Thorpe Marsh Tarmac
THRPBDG,Thorpes Bridge Down Goods Loop
THRPSBJ,Thorpes Bridge Junction
THRP715,Thorpes Bridge Signal MN715
THRPBUG,Thorpes Bridge Up Goods Loop
THBDBRD,Three Bridges Back Road
THBDNCS,Three Bridges Down Carriage Sidings
THBD127,Three Bridges Down Departure Signal TD127
THBDDTE,Three Bridges Down Thameslink Siding Entry/Exit
THBDDYD,Three Bridges Down Yard
THBDHSD,Three Bridges Horsham Siding
THBDLP,Three Bridges Loop
THBDPMD,Three Bridges P & MD/Civil Engineer's Sidings
THBD737,Three Bridges Points 1737
THBDPL3,Three Bridges Position Light Signal T1183
THBDPL5,Three Bridges Position Light Signal T1185
THBDPAD,Three Bridges Pre Assembly Depot
CATZ070,Three Bridges Railway Operations Centre
THRBDGS,Three Bridges Signal Box
THBD200,Three Bridges Signal T200
THBD206,Three Bridges Signal T206
THBD214,Three Bridges Signal T214
THBD218,Three Bridges Signal T218
THBD271,Three Bridges Signal T271
THBD288,Three Bridges Signal T288
THBD182,Three Bridges Signal T1182
THBD201,Three Bridges Signal T1201
THBD204,Three Bridges Signal T1204
THBD218,Three Bridges Signal T1218
THBDUTD,Three Bridges Thameslink Up Depot
THBDUTE,Three Bridges Thameslink Up Depot Entry/Exit
THBDTGE,Three Bridges Tilgate Siding Entry/Exit
THBDTGS,Three Bridges Tilgate Sidings
THBD98,Three Bridges Tilgate Siding Signal TD98
THBD165,Three Bridges Up Departure Signal TD165
THBDUSN,Three Bridges Up Siding
THBDWRS,Three Bridges Wagon Repair Siding/Voyager Maintenance Depot
THBDGSY,Three Bridges Yard
THRHRSH,Three Horse Shoes
THRHS27,Three Horse Shoes Eastrea Signal THS27
THOK259,Three Oaks A259
THOKLB,Three Oaks Lane Bridge
THOKMAX,Three Oaks Maxfield Lane
THRESHF,Three Spires Home Fires
THREESJ,Three Spires Junction
THRIFHH,Thrislington Freightliner Heavy Haul
THRIGBR,Thrislington GB Railfreight
THRISTE,Thrislington Steetley
THRMRUS,Thrumpton Rushey Sidings Level Crossing
THRMPT5,Thrumpton Signal T5
THRMT10,Thrumpton Signal T10
THRMUTL,"Thrumpton Up Loop [""Up Thrumpton Loop""]"
THRMWJN,Thrumpton West Junction
THBGJN,Thrybergh Junction
THCFBC,Thurcroft Colliery
THRGRTN,Thurgarton
CATZTUS,Thurles
TRNO,Thurnscoe
THURSO,Thurso
THURSOU,Thurso UKAEA
THUSTON,Thurston
TIDENHM,Tidenham Quarry
TILBURG,Tilburg Works
TLBYTAR,Tilbury 2 Tarmac
TLBYAGF,Tilbury Aggregates Terminal Freightliner Heavy Haul
TLBYCEG,Tilbury CEGB
