AACHEN,Aachen
ASHJGAT,Ashton Gate
ASHIMKS,Ashton In Makerfield Kelbit Sidings
ASHIMGB,Ashton In Makerfield Kelbit Sidings GB Railfreight
ASHIMSB,Ashton In Makerfield Stop Board
ASHJNCE,Ashton Junction Civil Engineer's Sidings
ASHJ335,Ashton Junction Signal B335
ASHJ192,Ashton Junction Signal BL2192
ASHTMNJ,Ashton Moss North Junction
ASHTMSJ,Ashton Moss South Junction
ASHONUL,Ashton-under-Lyne
ASHURST,Ashurst
ASHUBUS,Ashurst Bald Face Stag Public House
ASHUJN,Ashurst Junction
ASHVALE,Ash Vale
ASHVLEJ,Ash Vale Junction
ASHVLSB,Ash Vale Signal Box
ASHV408,Ash Vale Signal WK408
ASHWELC,Ashwell & Morden
ASKAM,Askam
ASKAM6,Askam Signal AM6
ASKRNLC,Askern Norton Level Crossing
ASLCKTN,Aslockton
ASPTRIA,Aspatria
ASPTBRA,Aspatria Brayton
ASPLEYG,Aspley Guise
ASTLEY,Astley
ASLYBJN,Astley Bridge Junction
ASTON,Aston
ASTO65,Aston Signal NS65
ASTO65,Aston Signal SB4619
ASTOSTJ,Aston South Junction
ATHH,Ath
ATHLNEY,Athelney Crossing
CATZATR,Athenry
ATHRSTN,Atherstone
ATHERTN,Atherton
CATZATO,Athlone
CATZATY,Athy
ATLNTDJ,Atlantic Dock Junction
ATADALE,Attadale
ATNBRO,Attenborough
ATNBROJ,Attenborough Junction
ATTRMGS,Attercliffe Marple And Gillott
ATTRCLF,Attercliffe Road
ATTRCLI,Attercliffe [Sheffield Supertram]
ATTREWS,Attercliffe Sidings English Welsh & Scottish Railway Attercliffe Sidings DB Schenker Attercliffe Sidings DB Cargo
ATTRFHH,Attercliffe Sidings Freightliner Heavy Haul
ATTRGBR,Attercliffe Sidings GB Railfreight
ATTSTEM,Attercliffe Stone Terminal Devon & Cornwall Railways
ATTLBON,Attleborough
ATLB431,Attleborough Junction Signal RN3431
ATLB533,Attleborough Junction Signal RN9533
ATLBRNJ,Attleborough North Junction
ATLBSHI,Attleborough Shilton
ATLBRJN,Attleborough South Junction
CATZATM,Attymon
ACHNGRY,Auchengray
ACHILCK,Auchinleck
AUCHTER,Auchterarder
AUCHAR6,Auchterarder Signal AR6
AUCHTDR,Auchterarder Signal Box
AUDLEYE,Audley End
AGHTNPH,Aughton Park
AULDGTH,Auldgirth
AULNOYE,Aulnoye (France)
AVEBRED,Avebury Red Lion (by bus)
AVNUNSF,Avenue Coking Plant/National Smokeless Fuels (Clay Cross)
CROY05,Avenue Road Tram
AVNUSD,Avenue Sidings (Clay Cross)
AVIEMRE,Aviemore
AVIEDRS,Aviemore Down Refuge Siding
AVIEA29,Aviemore Signal A29
AVIEA29,Aviemore Signal HA313
AVIEMRS,Aviemore (Speyside)
AVIESGB,Aviemore (Speyside) GB Railfreight
AVIEURS,Aviemore Up Refuge Siding
AVIGCMT,"Avignon ""CMT"""
AVIGVIL,Avignon Ville
AVNCLFF,Avoncliff
AVONMTH,Avonmouth
AVONADV,Avonmouth Advenza Freight
AVONBEF,Avonmouth Bennets Fastline
AVONBGB,Avonmouth Bennets GB Railfreight
AVONBEN,Avonmouth Bennets Siding
AVONBFH,Avonmouth Bennets Siding Freightliner Heavyhaul
AVONBHT,Avonmouth Bristol Bulk Handling Terminal Coal Silos
AVONBHF,Avonmouth Bristol Bulk Handling Terminal Fastline
AVONNPT,Avonmouth Bristol Bulk Handling Terminal National Power
AVONMCM,Avonmouth Chittening Estate
AVONCOL,Avonmouth Coal Silo Colas
AVONCT,Avonmouth Container Terminal English Welsh & Scottish Railway
AVONAFL,Avonmouth Edward Dock Advenza Freight
AVONILS,Avonmouth Enterprise
AVONMFS,Avonmouth Fisons Sidings
AVONHAN,Avonmouth Hanson Siding
AVONHFH,Avonmouth Hanson Siding Freightliner Heavy Haul
AVONHGB,Avonmouth Hanson Siding GB Railfreight
AVONHRN,Avonmouth Henry Bath Sidings
AVONNP2,Avonmouth National Power Silo 2
AVONWWF,Avonmouth Number 5 Wharf English Welsh & Scottish Railway
AVON4,Avonmouth Signal SA4
AVONWFH,Avonmouth West Wharf Freightliner Heavy Haul
AVONGBR,Avonmouth West Wharf GB Railfreight
AWRE,Awre
AXMNSEJ,Axminster East Junction
AXMNSSA,Axminster Station Approach Bus Stop
AXMNSTS,Axminster Station Bus Stop
AXMNSWJ,Axminster West Junction
AYLSBRY,Aylesbury
AYLSBCH,Aylesbury Branch Siding
AYLSCCD,Aylesbury Coal Concentration Depot
AYLSDMU,Aylesbury Diesel Multiple Unit Depot
AYLSNL,Aylesbury North Loop
AYLSBRS,Aylesbury Sidings 1-7
AYLS302,Aylesbury Signal ME302
AYLS792,Aylesbury Signal ME792
AYLSVJN,Aylesbury Vale Junction
AYLSPWY,Aylesbury Vale Parkway
AYLSWAD,Aylesbury Waddesdon Manor
AYLESFD,Aylesford
AYLERSD,Aylesford Reeds Sidings
AYLSFSB,Aylesford Signal Box
AYSHMS,Aylsham South
AYNHOJ,Aynho Junction
AYNH501,Aynho Junction Signal BS501
AYNHPKJ,Aynho Park Junction
AYNH502,Aynho Signal BS5002
AYNHUGL,Aynho Up Goods Loop
AYRR,Ayr
AYRRCSD,Ayr Carriage Servicing Depot
AYRRTMD,Ayr Depot
AYRRHBR,Ayr Harbour
AYRRABP,Ayr Harbour ABP
AYRRFHH,Ayr Harbour Freightliner Heavy Haul
AYRRSTE,Ayr Signal & Telecommunications Engineering
AYRR335,Ayr Signal PA335
AYRR853,Ayr Signal PA853
AYRR858,Ayr Signal PA858
AYRR859,Ayr Signal PA859
AYRRWRD,Ayr Wagon Repair Depot
BABWTHL,Babworth Loop
BACHE,Bache
BADESCL,Baddesley Colliery
BADMTN,Badminton
BGLAN,Baglan
BGLNBBP,Baglan Bay BP Chemical Industries EWS
BGLNBPF,Baglan Bay BP Chemical Industries Freightliner Heavy Haul
BGLNBC,Baglan Bay Colas
BGLNRPT,Baglan Rail Port Colas
BAGSHOT,Bagshot
BAGLYFJ,Baguley Fold Junction
BAGMTLK,Baguley Metrolink
BAGWDES,Bagworth Desford
BAGWTHJ,Bagworth Junction
BAGWJRS,Bagworth Junction Refuge Sidings
BAGWKM,Bagworth Kirby Muxloe
BAILDON,Baildon
BALISTN,Baillieston
BAISIEU,Baisieux (SNCF/SNCB Border)
BAKECH,Bakewell Chatsworth House
BAKEWEL,Bakewell Square (by bus)
BALA,Bala (by bus)
BALCOMB,Balcombe
BALCMTJ,Balcombe Tunnel Junction
BLDHU,Baldhu
BLDHR31,Baldhu Signal R31
BALDOCK,Baldock
BALD242,Baldock Signal K242
BLGRY,Balgray
BALHAM,Balham
CATZ048,Balham For The Games
BALHJN,Balham Junction
BALH37,Balham Signal BC37
CATZBAX,Ballina
CATZBSG,Ballinasloe
BLLINUG,Ballinluig
BALLOCH,Balloch
CATZBBY,Ballybrophy
CATZBHN,Ballyhaunis
CATZBMA,Ballymena
CATZBAO,Ballymote
BALMOSS,Balmossie
BALSHWL,Balshaw Lane
BMBRBDG,Bamber Bridge
BMBRCE,Bamber Bridge Civil Engineer's Sidings
BMBRRS,Bamber Bridge Engine Reception Siding
BMBRWI,Bamber Bridge Whittle International
BAMFORD,Bamford
BAMFDLP,Bamford Up Loop
BMFRLNJ,Bamfurlong Junction
BANAVIE,Banavie
BNBR,Banbury
BNBRCAT,Banbury Cattle Road Sidings
BNBRDPT,Banbury Depot
BNBRDJ,Banbury Depot Junction
BNBRDR,Banbury Depot Reception
BNBRDGL,Banbury Down Goods Loop
BNBRYD,Banbury Down Goods Loop/Banbury Yard DB Cargo
BNBRJN,Banbury Junction
BNBRNJ,Banbury North Junction
BNBRYNB,Banbury North Signal Box
BNBRYOS,Banbury Oil Sidings
BNBRYFY,Banbury Reservoir Foster Yeoman
BNBRRJN,Banbury Reservoir Junction
BNBRRN,Banbury Reservoir Neck
BNBRYRA,Banbury Reservoir Redland Aggregates
BNBRRS,Banbury Reservoir Sidings
BNBR09,Banbury Signal BN9
BNBR21,Banbury Signal BN21
BNBR12,Banbury Signal BS12
BNBR32,Banbury Signal BS32
BNBR734,Banbury Signal OL7134
BNBR743,Banbury Signal OL7143
BNBRYSB,Banbury South Signal Box
BNBRTS,Banbury Tamper Siding
BNBRUGL,Banbury Up Goods Loop
BNBRYUS,Banbury Up Sidings
BANGRCS,Bangor Carriage Sidings
BANGOR,Bangor (Gwynedd)
BANGB32,Bangor Signal BR32
BANG37,Bangor Signal BR37
BANGRTC,Bangor Tunnel Castle Cement
BNKHALL,Bank Hall
BNKJN,Bank Junction
BANSTED,Banstead
BANSBUS,Banstead (Firtree Road)
CATZBNU,Banteer
BARASIE,Barassie
BARACE,Barassie Civil Engineer
BARAFLT,Barassie Freightliner
BARAYRD,Barassie Freightliner Heavy Haul Sidings 3 And 4
BARASIJ,Barassie Junction
BARADPL,Barassie Junction Down Passenger Loop
BARA275,Barassie Junction Signal GPB275
BARAUGL,Barassie Junction Up Goods Loop
BARASCP,Barassie Shewalton Coup Civil Engineer's Sidings
BARAFHH,Barassie Yard Freightliner Heavy Haul
BARAGBR,Barassie Yard GB Railfreight
BRBCNLT,Barbican
BARCEMR,Barcelona El Morrot
BARDONH,Bardon Hill
BARDHBR,Bardon Hill BR Sidings
BARDGBR,Bardon Hill GB Railfreight
BARDHGF,Bardon Hill Ground Frame
BARDHPS,Bardon Hill Prismo Universal Ltd
BARDNHQ,Bardon Hill Quarry
BARDFHH,Bardon Hill Quarry Freightliner Heavy Haul
BRONLPT,Bardon London (Angerstein)
BRDNML,Bardon Mill
BARELA,Bare Lane
BARELAJ,Bare Lane Junction
BRGDDIE,Bargeddie
BARGOED,Bargoed
BARGSDG,Bargoed Sidings
BGEDSLJ,Bargoed Single Line Junction
BARHAM,Barham
BARHFHH,Barham Freightliner Heavy Haul
BARH379,Barham Ground Signal CO1379
BARI,Bari Scalo Ferruccio (Italy)
BARKING,Barking
BARKADV,Barking Advenza Freight
